identity,num_pairs,baseline_mean,fr_mean,improvement
Mike_Scioscia/Mike_Scioscia,2,0.8890655338764191,0.9156108200550079,0.026545286178588867
Owen_Wilson/Owen_Wilson,2,0.9687651991844177,0.9612677097320557,-0.0074974894523620605
Jim_Hahn/Jim_Hahn,4,0.9931547194719315,0.9808535724878311,-0.012301146984100342
Toni_Braxton/Toni_Braxton,2,0.9523745179176331,0.9394861161708832,-0.012888401746749878
Lana_Clarkson/Lana_Clarkson,1,0.998259961605072,0.9848813414573669,-0.013378620147705078
Mariangel_Ruiz_Torrealba/Mariangel_Ruiz_Torrealba,3,0.9409662485122681,0.9248615701993307,-0.01610467831293738
Svetlana_Koroleva/Svetlana_Koroleva,2,0.9902754127979279,0.9730358123779297,-0.01723960041999817
Mack_Brown/Mack_Brown,2,0.9791195392608643,0.9572115242481232,-0.02190801501274109
Reese_Witherspoon/Reese_Witherspoon,4,0.9820587337017059,0.9583923667669296,-0.023666366934776306
Zafarullah_Khan_Jamali/Zafarullah_Khan_Jamali,2,0.9885749816894531,0.964201956987381,-0.024373024702072144
Isabelle_Huppert/Isabelle_Huppert,2,0.9733204543590546,0.9479130208492279,-0.02540743350982666
Damon_van_Dam/Damon_van_Dam,2,0.9958502948284149,0.9701125621795654,-0.025737732648849487
Mohamed_Benaissa/Mohamed_Benaissa,2,0.961538165807724,0.9355948269367218,-0.025943338871002197
Paul-Henri_Mathieu/Paul-Henri_Mathieu,3,0.9940798481305441,0.9643871386845907,-0.02969270944595337
Jorge_Batlle/Jorge_Batlle,3,0.9874236186345419,0.957142968972524,-0.030280649662017822
Richard_Crenna/Richard_Crenna,2,0.9939552545547485,0.9597659409046173,-0.034189313650131226
Mikulas_Dzurinda/Mikulas_Dzurinda,2,0.9932858347892761,0.9581455886363983,-0.03514024615287781
James_Smith/James_Smith,2,0.9975354969501495,0.9623713791370392,-0.03516411781311035
Barry_Zito/Barry_Zito,1,0.9907721877098083,0.9554588198661804,-0.03531336784362793
Mark_Hamister/Mark_Hamister,2,0.9994580149650574,0.9625527858734131,-0.03690522909164429
Karen_Mok/Karen_Mok,2,0.9840469062328339,0.9464915990829468,-0.037555307149887085
Steve_Waugh/Steve_Waugh,2,0.9996103942394257,0.9615780711174011,-0.038032323122024536
Lionel_Richie/Lionel_Richie,2,0.9839939475059509,0.9444914758205414,-0.039502471685409546
Felipe_Perez_Roque/Felipe_Perez_Roque,4,0.981260746717453,0.940782442688942,-0.04047830402851105
